taxpayer_id,annual_income,declared_expenses,tax_paid,num_dependents,business_transactions,late_payments,audit_score,property_count,vehicle_count,foreign_transfer,digit_transactions_ratio,cash_transactions_ratio,year_register,compliance_score,crypto_transaction,offshore_account,suspicious_invoices,monthly_turnover,tax_refund_requests
1.440500128,0.507025284,-0.098592923,-1.034833145,0.232170932,-0.781694899,2.522289115,-0.178227836,1.097591964,-0.140452097,-1.353934103,0.605228505,0.165669757,-0.551850221,0.302392941,0.084677609,-0.119433057,0.531268675,-1.165557375,-1.230337275
0.133728273,-1.087384499,-0.683022113,-0.093363211,1.920673307,1.74462768,-0.714244803,-0.656818907,0.349981016,-1.333583848,0.080424684,-0.660451119,-1.054075121,1.08633223,0.930476986,0.1826185,-0.58026394,-1.029552336,1.0008705,1.233386107
1.17796525,-0.225834949,0.060271066,-1.222295625,-0.124958839,-0.971904347,0.91049555,-0.437806207,1.455680252,0.092697378,-0.85605926,0.460599577,0.796444887,-0.50299074,0.800134353,-0.548308863,0.180134455,0.443992416,-1.360597724,-0.564638397
-1.356661992,0.278508055,-1.312332438,1.512632758,-0.170029773,0.959592885,-0.236286461,-0.797876095,0.018365157,-0.748626684,1.227436356,0.540819163,1.016895974,0.63539493,-0.661382712,1.235710982,-1.138696027,-0.229051612,-0.744611415,0.036181842
-1.141539607,0.210361843,-1.182621281,1.53433699,-1.342958525,0.527744097,0.078162346,-1.453507853,-0.226619435,-1.073965936,1.236643012,0.792140743,1.125967537,0.801665732,-0.3675953,0.628840155,-1.599486931,-0.626937859,-1.168348911,0.379194333
0.946012531,0.855019256,-0.465559703,-1.486864546,0.217934509,-0.910442189,1.904368824,-0.522208359,1.066678808,0.068372957,-1.248674551,0.269531145,0.33643846,-0.450713672,0.795198393,-0.708144653,0.274516742,0.835169124,-1.115268649,0.195961508
-0.94524961,1.491053813,1.077373127,0.591382151,-1.524711702,-1.267674964,-1.191966034,1.224896788,0.019292827,0.53297323,-1.473630056,1.326782039,0.843959003,-1.720417421,-1.713915558,-1.851686584,-0.507222803,1.30387818,1.126456333,-0.337820538
-0.617848654,1.386116814,1.051969979,0.833191648,-1.129874647,-1.420707713,-0.965108163,1.486081636,0.035256183,0.673095872,-1.091928945,1.312375653,0.760543559,-1.468240106,-2.241242983,-1.51195157,-0.432337562,0.822334481,0.527862677,0.842715905
-0.524210346,-0.63536239,1.046818308,0.161197701,-1.294052602,0.430110641,-0.235712262,0.461437674,-2.116764166,1.667953942,0.397937457,-1.326257138,-1.013708863,0.493233076,-0.477625708,1.101566069,1.271114445,-1.057823482,0.290502526,-0.208876144
0.0643813,-0.681064108,1.094585458,-0.238621854,1.005521846,-0.020062871,-0.363543141,0.741960623,-1.572260343,1.12918008,0.733655305,-0.689485728,-1.489754789,-0.128483627,-0.282724482,-0.087123153,1.718419134,-1.716740698,0.076275234,-0.599355368
-0.410958642,1.700670169,1.016895679,0.792831032,-1.618241527,-1.298639358,-0.923022734,1.20687062,0.256022453,0.822524308,-1.251357518,1.296443913,1.022014359,-1.449104078,-1.501553588,-1.678528629,-0.649997851,1.616537618,0.651976646,0.824889889
-0.256693123,1.24816055,0.898885119,0.531966795,-1.116808864,-1.211334677,-0.422981212,0.516420275,0.520293958,0.666746747,-1.426005258,0.979101682,0.731835879,-1.532684749,-1.584145039,-1.257139258,-0.862841654,1.354194203,0.153863276,0.459091172
-1.330873666,0.189243503,-1.172251421,1.528192227,-0.905539635,0.772009318,0.315865756,-0.745495664,0.303291412,-0.834457045,1.126860018,0.558070887,1.087724142,0.786407586,-0.217670839,1.009231008,-1.211412441,-0.5757648,-0.793464816,0.558499009
1.506319211,-0.190272709,-0.117911587,-1.390102756,-0.680106065,-1.115564772,2.212035109,-0.059405814,1.595148482,-0.165125805,-0.880153066,0.473567344,0.752687499,-0.144804394,0.20406795,-0.50025266,0.325670734,0.784607265,-0.870337022,-1.854592861
0.970587462,0.330132439,-0.660860495,-1.721182239,-0.118477534,-0.739806329,1.883587186,-0.458052238,0.65383394,0.250678852,-1.059910846,0.170877446,0.61248998,-0.347283704,0.383105739,-0.491625721,0.202596697,1.162951905,-1.313610674,-1.230164538
-0.182640408,-0.005962877,1.614310134,-0.35205316,-0.11760004,-0.036986132,-0.917102059,0.373119394,-1.973686403,1.580381278,0.401197373,-0.604767516,-1.016961074,0.51296894,0.290663151,0.13788423,1.668597788,-0.359839351,-0.078827753,-2.072907266
-0.537883844,1.777761172,0.786655395,0.954270649,-0.907627577,-1.627072882,-0.312615821,1.035140759,0.403060255,0.696890962,-1.050806412,1.446387817,0.765109346,-1.893455708,-1.520278884,-1.776217436,0.052852081,1.360790837,0.418849711,0.246337292
-1.460859572,0.371321253,-1.328975096,1.704663786,-0.509707135,0.865913015,0.219774268,-0.979816911,-0.453319374,-0.828303559,1.411749196,0.771388768,1.102563548,0.428562258,-0.303640721,1.079114234,-1.179307254,-0.038570106,-1.0079941,0.508185838
0.25563466,-1.452073458,-0.701627076,0.047091805,0.883816541,0.997631087,-0.486553214,-0.764258688,0.330510454,-1.991679857,0.529181234,-0.767429444,-1.27965389,0.676921911,1.123037351,0.358603401,-0.250439425,-1.69883134,1.18404758,2.060574764
-0.23482757,-1.246732805,0.495950605,-0.68384769,1.049338238,0.362415781,-0.284265844,1.458796245,-1.879880245,1.787785649,0.501068352,-0.607957583,-1.177633985,-0.144226641,-0.012851916,-0.378828463,1.921271459,-0.854383428,-0.745070576,-0.539266139
